backing_live_bytes,backing_peak_bytes,direct_draw_plan_executions,direction,draw_plan_cache_hits,draw_plans_created,elapsed_total_ms,fixture,frame_time_max_ms,frame_time_min_ms,frame_time_p50_ms,frame_time_p95_ms,frame_time_p99_ms,frames,frames_ge_17_ms,frames_ge_34_ms,full_jpeg_decodes,generic_geometry_draws,image_controls,image_count,image_materializations,image_pipelines,native_geometry_materializations,pass,physical_identity_attempts,physical_identity_fallbacks,physical_identity_hits,physical_identity_reject_backing,physical_identity_reject_canvas,physical_identity_reject_clip,physical_identity_reject_execution,physical_identity_reject_mapping,physical_identity_reject_partial,physical_identity_reject_surface,physical_variant_bytes,physical_variant_hits,physical_variant_lookups,physical_variant_misses,physical_variant_stores,record,resolution,rows,run,screen_spec,scroll_distance,scroll_end,scroll_max,scroll_start,smooth_resample_draws,target_color_attempts,target_color_converted_bytes,target_color_hits,target_color_materializations,target_color_profile,targeted_jpeg_decodes,tile_logical,ui_build_elapsed_ms,variant_cache_profile,write_pixels_attempts,write_pixels_copied_bytes,write_pixels_fallbacks,write_pixels_hits
940232584,940232584,0,top-to-bottom,663,669,12653,ImageScrollRealWorkloadBenchmarkApp,254,2,52,56,201,292,219,219,4,0,663,663,663,12,669,cold,663,663,0,0,0,0,0,663,0,0,0,0,0,0,0,pass,480x720,221,480x720-target-disabled-variant-disabled,480x720x24,34911,34911,34911,0,0,0,0,0,0,disabled,659,159,335,disabled,5093,0,5093,0
940232584,940232584,0,bottom-to-top,0,0,1292,ImageScrollRealWorkloadBenchmarkApp,20,2,3,11,17,292,7,0,0,0,663,663,0,0,0,warm,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,pass,480x720,221,480x720-target-disabled-variant-disabled,480x720x24,34911,0,34911,34911,0,0,0,0,0,disabled,0,159,335,disabled,5093,0,5093,0
940232584,940232584,0,top-to-bottom,0,0,1150,ImageScrollRealWorkloadBenchmarkApp,17,2,3,7,12,292,1,0,0,0,663,663,0,0,0,warm2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,pass,480x720,221,480x720-target-disabled-variant-disabled,480x720x24,34911,34911,34911,0,0,0,0,0,0,disabled,0,159,335,disabled,5093,0,5093,0
940232584,940232584,0,top-to-bottom,663,669,11998,ImageScrollRealWorkloadBenchmarkApp,254,2,51,55,68,292,217,217,4,0,663,663,663,12,669,cold,663,663,0,0,0,0,0,663,0,0,0,0,663,663,0,pass,480x720,221,480x720-target-disabled-variant-enabled,480x720x24,34911,34911,34911,0,0,0,0,0,0,disabled,659,159,266,enabled,5093,0,5093,0
940232584,940232584,0,bottom-to-top,0,0,1265,ImageScrollRealWorkloadBenchmarkApp,16,2,4,7,11,292,0,0,0,0,663,663,0,0,0,warm,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,pass,480x720,221,480x720-target-disabled-variant-enabled,480x720x24,34911,0,34911,34911,0,0,0,0,0,disabled,0,159,266,enabled,5093,0,5093,0
940232584,940232584,0,top-to-bottom,0,0,1292,ImageScrollRealWorkloadBenchmarkApp,20,2,4,7,17,292,3,0,0,0,663,663,0,0,0,warm2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,pass,480x720,221,480x720-target-disabled-variant-enabled,480x720x24,34911,34911,34911,0,0,0,0,0,0,disabled,0,159,266,enabled,5093,0,5093,0
940232584,940232584,0,top-to-bottom,663,669,11906,ImageScrollRealWorkloadBenchmarkApp,249,2,51,54,63,292,218,217,4,0,663,663,663,12,669,cold,663,663,0,0,0,0,0,663,0,0,0,0,0,0,0,pass,480x720,221,480x720-target-enabled-variant-disabled,480x720x24,34911,34911,34911,0,0,663,0,0,0,enabled,659,159,234,disabled,5093,0,5093,0
940232584,940232584,0,bottom-to-top,0,0,1187,ImageScrollRealWorkloadBenchmarkApp,17,2,3,8,16,292,1,0,0,0,663,663,0,0,0,warm,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,pass,480x720,221,480x720-target-enabled-variant-disabled,480x720x24,34911,0,34911,34911,0,0,0,0,0,enabled,0,159,234,disabled,5093,0,5093,0
940232584,940232584,0,top-to-bottom,0,0,1284,ImageScrollRealWorkloadBenchmarkApp,21,2,3,11,18,292,8,0,0,0,663,663,0,0,0,warm2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,pass,480x720,221,480x720-target-enabled-variant-disabled,480x720x24,34911,34911,34911,0,0,0,0,0,0,enabled,0,159,234,disabled,5093,0,5093,0
940232584,940232584,0,top-to-bottom,663,669,12088,ImageScrollRealWorkloadBenchmarkApp,250,8,51,54,58,292,217,217,4,0,663,663,663,12,669,cold,663,663,0,0,0,0,0,663,0,0,0,0,663,663,0,pass,480x720,221,480x720-target-enabled-variant-enabled,480x720x24,34911,34911,34911,0,0,663,0,0,0,enabled,659,159,187,enabled,5093,0,5093,0
940232584,940232584,0,bottom-to-top,0,0,2433,ImageScrollRealWorkloadBenchmarkApp,9,7,8,9,9,292,0,0,0,0,663,663,0,0,0,warm,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,pass,480x720,221,480x720-target-enabled-variant-enabled,480x720x24,34911,0,34911,34911,0,0,0,0,0,enabled,0,159,187,enabled,5093,0,5093,0
940232584,940232584,0,top-to-bottom,0,0,2434,ImageScrollRealWorkloadBenchmarkApp,9,7,8,9,9,292,0,0,0,0,663,663,0,0,0,warm2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,pass,480x720,221,480x720-target-enabled-variant-enabled,480x720x24,34911,34911,34911,0,0,0,0,0,0,enabled,0,159,187,enabled,5093,0,5093,0
1019597208,1019597208,0,top-to-bottom,663,669,15032,ImageScrollRealWorkloadBenchmarkApp,358,8,63,66,68,327,216,216,8,0,663,663,663,12,669,cold,663,663,0,0,0,0,0,663,0,0,0,0,0,0,0,pass,540x960,221,540x960-target-disabled-variant-disabled,540x960x24,39091,39091,39091,0,0,0,0,0,0,disabled,655,179,228,disabled,6552,0,6552,0
